Fiscal-Year-Année-Fiscale,Survey-participant_Participant-de-sondage,Question-number_Numéro-question,Question-ENG,Response_Réponse-ENG,Question-FRA,Response_Réponse-FRA
2024-2025,2024-2025-00005,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Not applicable","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Sans objet"
2024-2025,2024-2025-00005,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally","Not applicable","Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.","Sans objet"
2024-2025,2024-2025-00005,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Not applicable","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Sans objet"
2024-2025,2024-2025-00005,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Not applicable","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00005,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Not applicable","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Sans objet"
2024-2025,2024-2025-00006,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Agree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt d'accord"
2024-2025,2024-2025-00006,"A1 b)","PSPC Procurement Officers answered my questions",Agree,"Les agents d'approvisionnement de SPAC ont répondu à mes questions.",D'accord
2024-2025,2024-2025-00006,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Agree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.",D'accord
2024-2025,2024-2025-00006,"A2 a)","I understood the steps in the PSPC procurement process",Agree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.",D'accord
2024-2025,2024-2025-00006,"A2 b)","I understood the statement of work in the PSPC solicitation documents",Agree,"J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00006,"A2 c)","I understood the PSPC criteria to evaluate the bids",Agree,"J'ai compris les critères de SPAC pour évaluer les soumissions.",D'accord
2024-2025,2024-2025-00006,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents",Agree,"Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00006,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid",Agree,"Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.",D'accord
2024-2025,2024-2025-00006,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Agree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.",D'accord
2024-2025,2024-2025-00006,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents",Agree,"La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.",D'accord
2024-2025,2024-2025-00006,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents",Agree,"J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00006,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process",Agree,"Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.",D'accord
2024-2025,2024-2025-00007,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Agree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt d'accord"
2024-2025,2024-2025-00007,"A1 b)","PSPC Procurement Officers answered my questions","Agree somewhat","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Disagree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","En désaccord"
2024-2025,2024-2025-00007,"A2 a)","I understood the steps in the PSPC procurement process","Agree somewhat","J'ai compris les étapes du processus d'approvisionnement de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Agree somewhat","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A2 c)","I understood the PSPC criteria to evaluate the bids","Agree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Not applicable","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00007,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Not applicable","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Sans objet"
2024-2025,2024-2025-00007,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally","Not applicable","Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.","Sans objet"
2024-2025,2024-2025-00007,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Agree somewhat","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Agree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00007,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Agree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00008,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).",Agree,"Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).",D'accord
2024-2025,2024-2025-00008,"A1 b)","PSPC Procurement Officers answered my questions","Not applicable","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Sans objet"
2024-2025,2024-2025-00008,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Not applicable","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Sans objet"
2024-2025,2024-2025-00008,"A2 a)","I understood the steps in the PSPC procurement process","Agree somewhat","J'ai compris les étapes du processus d'approvisionnement de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00008,"A2 b)","I understood the statement of work in the PSPC solicitation documents",Agree,"J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00008,"A2 c)","I understood the PSPC criteria to evaluate the bids",Agree,"J'ai compris les critères de SPAC pour évaluer les soumissions.",D'accord
2024-2025,2024-2025-00008,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents",Agree,"Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00008,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid",Agree,"Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.",D'accord
2024-2025,2024-2025-00008,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Agree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.",D'accord
2024-2025,2024-2025-00008,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents",Agree,"La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.",D'accord
2024-2025,2024-2025-00008,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Agree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00008,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Agree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00009,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).",Disagree,"Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","En désaccord"
2024-2025,2024-2025-00009,"A1 b)","PSPC Procurement Officers answered my questions",Agree,"Les agents d'approvisionnement de SPAC ont répondu à mes questions.",D'accord
2024-2025,2024-2025-00009,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Disagree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","En désaccord"
2024-2025,2024-2025-00009,"A2 a)","I understood the steps in the PSPC procurement process",Disagree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.","En désaccord"
2024-2025,2024-2025-00009,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Agree somewhat","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00009,"A2 c)","I understood the PSPC criteria to evaluate the bids","Agree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt d'accord"
2024-2025,2024-2025-00009,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents",Agree,"Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00009,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Agree somewhat","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Plutôt d'accord"
2024-2025,2024-2025-00009,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Agree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.",D'accord
2024-2025,2024-2025-00009,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents",Agree,"La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.",D'accord
2024-2025,2024-2025-00009,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Disagree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt en désaccord"
2024-2025,2024-2025-00009,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Disagree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt en désaccord"
2024-2025,2024-2025-00010,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Agree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt d'accord"
2024-2025,2024-2025-00010,"A1 b)","PSPC Procurement Officers answered my questions",Agree,"Les agents d'approvisionnement de SPAC ont répondu à mes questions.",D'accord
2024-2025,2024-2025-00010,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Agree somewhat","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00010,"A2 a)","I understood the steps in the PSPC procurement process",Agree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.",D'accord
2024-2025,2024-2025-00010,"A2 b)","I understood the statement of work in the PSPC solicitation documents",Agree,"J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00010,"A2 c)","I understood the PSPC criteria to evaluate the bids","Disagree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt en désaccord"
2024-2025,2024-2025-00010,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Agree somewhat","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00010,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Agree somewhat","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Plutôt d'accord"
2024-2025,2024-2025-00010,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally","Disagree somewhat","Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.","Plutôt en désaccord"
2024-2025,2024-2025-00010,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Agree somewhat","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Plutôt d'accord"
2024-2025,2024-2025-00010,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Agree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00010,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Agree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00011,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Agree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt d'accord"
2024-2025,2024-2025-00011,"A1 b)","PSPC Procurement Officers answered my questions",Agree,"Les agents d'approvisionnement de SPAC ont répondu à mes questions.",D'accord
2024-2025,2024-2025-00011,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Agree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.",D'accord
2024-2025,2024-2025-00011,"A2 a)","I understood the steps in the PSPC procurement process",Agree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.",D'accord
2024-2025,2024-2025-00011,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Agree somewhat","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00011,"A2 c)","I understood the PSPC criteria to evaluate the bids","Disagree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt en désaccord"
2024-2025,2024-2025-00011,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Agree somewhat","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00011,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Disagree somewhat","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Plutôt en désaccord"
2024-2025,2024-2025-00011,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Disagree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.","En désaccord"
2024-2025,2024-2025-00011,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Agree somewhat","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Plutôt d'accord"
2024-2025,2024-2025-00011,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Agree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00011,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Agree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00012,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Not applicable","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Sans objet"
2024-2025,2024-2025-00012,"A1 b)","PSPC Procurement Officers answered my questions","Not applicable","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Sans objet"
2024-2025,2024-2025-00012,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Agree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.",D'accord
