sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-QC,Quebec,Québec,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOPRIME INC (E60ZH-190000/005/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOPRIME INC (E60ZH-190000/005/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOPRIME INC","ErgoPrime Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2231282-ACM_143855455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: MARTIN DISABILITY MANAGEMENT SERVICES (E60ZH-190000/008/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : MARTIN DISABILITY MANAGEMENT SERVICES (E60ZH-190000/008/ZH).","Comprehensive health services","Services de santé complets",85100000,"CYNTHIA A MARTIN","Cynthia A Martin",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2231291-ACM_143643455,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Comprehensive health services","Services de santé complets",85100000,"AUSPICE SAFETY INC","Auspice Safety Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231294-ACM_151583602,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Comprehensive health services","Services de santé complets",85100000,"AUSPICE SAFETY INC","Auspice Safety Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231294-ACM_151583602,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : AUSPICE SAFETY INC (E60ZH-190000/009/ZH).","Comprehensive health services","Services de santé complets",85100000,"AUSPICE SAFETY INC","Auspice Safety Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-QC,Quebec,Québec,NMSO,OCPN,CW2231294-ACM_151583602,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: COMMUNICARE THERAPY INC (E60ZH-190000/010/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : COMMUNICARE THERAPY INC (E60ZH-190000/010/ZH).","Comprehensive health services","Services de santé complets",85100000,"COMMUNICARE THERAPY INC","CommuniCare Therapy Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231297-ACM_151371257-1,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PILLAR ERGONOMICS INC (E60ZH-190000/011/ZH).","Comprehensive health services","Services de santé complets",85100000,"PILLAR ERGONOMICS INC","Pillar Ergonomics Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2231300-ACM_146571171,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-QC,Quebec,Québec,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SMART PRINTING SOLUTIONS INC (E60ZH-190000/012/ZH).","Comprehensive health services","Services de santé complets",85100000,"SMART PRINTING SOLUTIONS INC","Smart Printing Solutions Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2231303-ACM_151767682,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: VINCENT ERGONOMIE INC (E60ZH-190000/013/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : VINCENT ERGONOMIE INC (E60ZH-190000/013/ZH).","Comprehensive health services","Services de santé complets",85100000,"VINCENT ERGONOMIE INC","Vincent Ergonomie Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-QC,Quebec,Québec,NMSO,OCPN,CW2231306-ACM_151546494-1,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: PAMELA DEMPSTER OT(C) (E60ZH-190000/016/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : PAMELA DEMPSTER OT(C) (E60ZH-190000/016/ZH).","Comprehensive health services","Services de santé complets",85100000,"PAM DEMPSTER","PAM DEMPSTER",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2231315-ACM_146322458,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGOKINOX INC (E60ZH-190000/017/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGOKINOX INC (E60ZH-190000/017/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGOKINOX INC","Ergokinox Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-QC,Quebec,Québec,NMSO,OCPN,CW2231318-ACM_143721515,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: FOCUS ON ERGONOMICS (E60ZH-190000/018/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : FOCUS ON ERGONOMICS (E60ZH-190000/018/ZH).","Comprehensive health services","Services de santé complets",85100000,"FARZANA ISMAIL","Farzana Ismail",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231321-ACM_143740668,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Comprehensive health services","Services de santé complets",85100000,"JOELLE GOBEIL","Joelle Gobeil",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2231324-ACM_143904883,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Comprehensive health services","Services de santé complets",85100000,"JOELLE GOBEIL","Joelle Gobeil",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231324-ACM_143904883,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : GOBEIL CONSULTANCY (E60ZH-190000/019/ZH).","Comprehensive health services","Services de santé complets",85100000,"JOELLE GOBEIL","Joelle Gobeil",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-ON,Ontario,Ontario,NMSO,OCPN,CW2231324-ACM_143904883,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-AB,Alberta,Alberta,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
